Field,TP,FP,FN,Precision,Recall,F1
Class,2,0,17,1.0,0.1053,0.1905
Datasets (eval),18,0,0,1.0,1.0,1.0
Datasets (train),18,0,0,1.0,1.0,1.0
Family,4,0,16,1.0,0.2,0.3333
Fusion,12,0,4,1.0,0.75,0.8571
Lang Dec,20,0,0,1.0,1.0,1.0
Metrics(primary),19,0,0,1.0,1.0,1.0
Modality,20,0,0,1.0,1.0,1.0
Model,4,0,15,1.0,0.2105,0.3478
Objectives,5,0,14,1.0,0.2632,0.4167
Paired,9,0,9,1.0,0.5,0.6667
RAG,13,0,5,1.0,0.7222,0.8387
Task,18,0,1,1.0,0.9474,0.973
VLM?,19,0,0,1.0,1.0,1.0
Vision Enc,17,0,0,1.0,1.0,1.0
__MICRO__,198,0,81,1.0,0.7097,0.8302
